productivity_index_bbl_per_day_psi,aquifer_time_constant_days,timestep_over_time_constant,terminal_water_influx_bbl,invaded_pore_volume_fraction,terminal_pressure_psia,r_squared,fitted_gas_in_place_scf,relative_gas_in_place_error,fitted_stderr_scf,bias_over_stderr,relative_remaining_gas_error,max_abs_residual_psia,rms_residual_psia
0,,0,0,0,1714.78406208,1,100000000000,-9.58122470252e-14,0.00464095161036,-2.06477471342,-2.12940776123e-13,9.26320353756e-10,3.01493547975e-10
0.05,360000,0.0000845486111111,266425.018936,0.00359232772771,1720.56566902,0.999999891495,100315765091,0.00315765091059,3584242.8443,88.0981297239,0.00701700202354,0.749351160179,0.231114035768
0.2,90000,0.000338194444444,1045165.07915,0.0140924283645,1737.71020963,0.99999828332,101263666423,0.0126366642325,14433549.0334,87.5506377758,0.0280814760721,2.95878818605,0.910209433641
0.6,30000,0.00101458333333,2978769.35751,0.0401640799358,1781.93427343,0.999985070249,103791853631,0.0379185363081,43958281.6677,86.260278768,0.0842634140181,8.55843681681,2.61550553868
2,9000,0.00338194444444,8359648.25978,0.112716877557,1919.14466773,0.999859493376,112502550611,0.125025506108,149628214.382,83.5574404362,0.277834458018,24.6342825651,7.37551999915
6,3000,0.0101458333333,16424367.1074,0.2214570899,2176.01939359,0.999351874714,133590344151,0.335903441507,398662258.492,84.2576477588,0.746452092238,43.7791610304,13.2844069074
20,900,0.0338194444444,22526068.4182,0.303729058548,2430.57775273,0.99745134966,162735068394,0.627350683937,1004257987.93,62.4690758231,1.39411263097,56.8972557886,21.7793672647
60,300,0.101458333333,24500098.5493,0.330345789978,2528.76377601,0.995207151487,174005125694,0.740051256944,1492053688.57,49.5995058765,1.64455834877,68.4540182494,28.2324431136
