productivity_index_bbl_per_day_psi,observation_index,times_days,times_years,cumulative_gas_scf,cumulative_gas_bscf,pressure_psia,z_factor,p_over_z_psia,fitted_p_over_z_psia,residual_p_over_z_psia
6,0,0,0,0,0,4000,0.920768835948,4344.19568065,4300.41651962,43.7791610304
6,1,91.3125,0.25,1145833333.33,1.14583333333,3939.91441712,0.917247007895,4295.36905894,4263.53091515,31.8381437938
6,2,182.625,0.5,2291666666.67,2.29166666667,3882.85843027,0.913978740849,4248.3027851,4226.64531068,21.6574744273
6,3,273.9375,0.75,3437500000,3.4375,3828.47935949,0.910935255103,4202.80073479,4189.75970621,13.0410285808
6,4,365.25,1,4583333333.33,4.58333333333,3776.47368073,0.908092121924,4158.69005969,4152.87410174,5.81595795326
6,5,456.5625,1.25,5729166666.67,5.72916666667,3726.57860663,0.905428496344,4115.81767271,4115.98849727,-0.170824552311
6,6,547.875,1.5,6875000000,6.875,3678.5653588,0.902926507611,4074.04736465,4079.1028928,-5.05552814894
6,7,639.1875,1.75,8020833333.33,8.02083333333,3632.23374398,0.900570770703,4033.2574209,4042.21728833,-8.95986742985
6,8,730.5,2,9166666666.67,9.16666666667,3587.40774547,0.89834799174,3993.33863765,4005.33168386,-11.9930462077
6,9,821.8125,2.25,10312500000,10.3125,3543.93191232,0.896246646877,3954.19265966,3968.44607939,-14.2534197299
6,10,913.125,2.5,11458333333.3,11.4583333333,3501.66838087,0.894256719218,3915.73057894,3931.56047491,-15.8298959717
6,11,1004.4375,2.75,12604166666.7,12.6041666667,3460.49440136,0.892369481877,3877.87174667,3894.67487044,-16.8031237736
6,12,1095.75,3,13750000000,13.75,3420.3002713,0.890577318054,3840.54276026,3857.78926597,-17.246505718
6,13,1187.0625,3.25,14895833333.3,14.8958333333,3380.98759823,0.88887357096,3803.67659551,3820.9036615,-17.2270659953
6,14,1278.375,3.5,16041666666.7,16.0416666667,3342.46783151,0.887252418046,3767.21185936,3784.01805703,-16.8061976693
6,15,1369.6875,3.75,17187500000,17.1875,3304.66101472,0.88570876505,3731.09214352,3747.13245256,-16.0403090444
6,16,1461,4,18333333333.3,18.3333333333,3267.49472027,0.88423815639,3695.26546288,3710.24684809,-14.9813852172
6,17,1552.3125,4.25,19479166666.7,19.4791666667,3230.90313519,0.882836699054,3659.68376559,3673.36124362,-13.6774780374
6,18,1643.625,4.5,20625000000,20.625,3194.82627318,0.881500997719,3624.30250385,3636.47563915,-12.1731353044
6,19,1734.9375,4.75,21770833333.3,21.7708333333,3159.20929222,0.880228099265,3589.08025642,3599.59003468,-10.5097782649
6,20,1826.25,5,22916666666.7,22.9166666667,3124.00190132,0.879015445175,3553.97839533,3562.70443021,-8.72603487724
6,21,1917.5625,5.25,24062500000,24.0625,3089.15784244,0.877860830589,3518.96079059,3525.81882574,-6.85803515334
6,22,2008.875,5.5,25208333333.3,25.2083333333,3054.63443625,0.876762369011,3483.99354741,3488.93322127,-4.93967386078
6,23,2100.1875,5.75,26354166666.7,26.3541666667,3020.39218231,0.875718461833,3449.04477175,3452.0476168,-3.00284505438
6,24,2191.5,6,27500000000,27.5,2986.39440563,0.874727771968,3414.08436011,3415.16201233,-1.0776522227
6,25,2282.8125,6.25,28645833333.3,28.6458333333,2952.60694306,0.873789201039,3379.08381055,3378.27640786,0.807402689099
6,26,2374.125,6.5,29791666666.7,29.7916666667,2918.99786388,0.872901869625,3344.01605204,3341.39080339,2.62524865206
6,27,2465.4375,6.75,30937500000,30.9375,2885.53721976,0.872065100167,3308.85528983,3304.50519892,4.35009090749
6,28,2556.75,7,32083333333.3,32.0833333333,2852.19682013,0.871278402194,3273.57686469,3267.61959445,5.95727024519
6,29,2648.0625,7.25,33229166666.7,33.2291666667,2818.95002944,0.870541459582,3238.15712441,3230.73398998,7.42313443575
6,30,2739.375,7.5,34375000000,34.375,2785.77158338,0.869854119616,3202.57330575,3193.84838551,8.7249202407
6,31,2830.6875,7.75,35520833333.3,35.5208333333,2752.63742136,0.869216383635,3166.80342569,3156.96278104,9.84064465147
6,32,2922,8,36666666666.7,36.6666666667,2719.52453319,0.868628399103,3130.82618068,3120.07717657,10.7490041117
6,33,3013.3125,8.25,37812500000,37.8125,2686.41081787,0.868090452962,3094.62085282,3083.1915721,11.429280718
6,34,3104.625,8.5,38958333333.3,38.9583333333,2653.27495275,0.867602966136,3058.16722201,3046.30596763,11.8612543785
6,35,3195.9375,8.75,40104166666.7,40.1041666667,2620.09627172,0.867166489097,3021.44548327,3009.42036316,12.0251201091
6,36,3287.25,9,41250000000,41.25,2586.85465079,0.866781698405,2984.43616836,2972.53475869,11.9014096749
6,37,3378.5625,9.25,42395833333.3,42.3958333333,2553.53040009,0.866449394154,2947.12007108,2935.64915422,11.4709168665
6,38,3469.875,9.5,43541666666.7,43.5416666667,2520.10416096,0.866170498266,2909.47817549,2898.76354975,10.7146257469
6,39,3561.1875,9.75,44687500000,44.6875,2486.55680734,0.865946053611,2871.49158654,2861.87794528,9.61364126277
6,40,3652.5,10,45833333333.3,45.8333333333,2452.86935021,0.865777223886,2833.14146242,2824.99234081,8.14912161476
6,41,3743.8125,10.25,46979166666.7,46.9791666667,2419.02284447,0.865665294273,2794.40894821,2788.10673634,6.30221187114
6,42,3835.125,10.5,48125000000,48.125,2384.99829715,0.865611672832,2755.27511009,2751.22113186,4.05397822021
6,43,3926.4375,10.75,49270833333.3,49.2708333333,2350.77657634,0.865617892657,2715.72086978,2714.33552739,1.38534238476
6,44,4017.75,11,50416666666.7,50.4166666667,2316.33831978,0.865685614779,2675.72693855,2677.44992292,-1.72298437698
6,45,4109.0625,11.25,51562500000,51.5625,2281.66384245,0.865816631853,2635.27375024,2640.56431845,-5.29056820941
6,46,4200.375,11.5,52708333333.3,52.7083333333,2246.73304229,0.866012872653,2594.34139288,2603.67871398,-9.33732110382
6,47,4291.6875,11.75,53854166666.7,53.8541666667,2211.52530307,0.866276407402,2552.90953808,2566.79310951,-13.8835714348
6,48,4383,12,55000000000,55,2176.01939359,0.866609454013,2510.95736783,2529.90750504,-18.9501372081
