productivity_index_bbl_per_day_psi,observation_index,times_days,times_years,cumulative_gas_scf,cumulative_gas_bscf,pressure_psia,z_factor,p_over_z_psia,fitted_p_over_z_psia,residual_p_over_z_psia
0.2,0,0,0,0,0,4000,0.920768835948,4344.19568065,4341.23689246,2.95878818621
0.2,1,91.3125,0.25,1145833333.33,1.14583333333,3938.79332976,0.917182067855,4294.45087056,4292.11429879,2.3365717719
0.2,2,182.625,0.5,2291666666.67,2.29166666667,3878.60767981,0.913738290198,4244.76868422,4242.99170512,1.77697909997
0.2,3,273.9375,0.75,3437500000,3.4375,3819.40476673,0.910434332083,4195.14580254,4193.86911145,1.27669108566
0.2,4,365.25,1,4583333333.33,4.58333333333,3761.14776581,0.907267178703,4145.57900264,4144.74651778,0.832484859535
0.2,5,456.5625,1.25,5729166666.67,5.72916666667,3703.80123152,0.904233964244,4096.06515346,4095.62392411,0.441229352431
0.2,6,547.875,1.5,6875000000,6.875,3647.33102211,0.901331965136,4046.60121153,4046.50133044,0.0998810887559
0.2,7,639.1875,1.75,8020833333.33,8.02083333333,3591.7042284,0.898558593608,3997.18421698,3997.37873677,-0.194519792334
0.2,8,730.5,2,9166666666.67,9.16666666667,3536.88910623,0.895911391558,3947.81128978,3948.2561431,-0.444853324256
0.2,9,821.8125,2.25,10312500000,10.3125,3482.8550125,0.893388024696,3898.47962612,3899.13354943,-0.653923310159
0.2,10,913.125,2.5,11458333333.3,11.4583333333,3429.5723445,0.890986276954,3849.18649502,3850.01095576,-0.824460743559
0.2,11,1004.4375,2.75,12604166666.7,12.6041666667,3377.01248245,0.88870404515,3799.92923502,3800.88836209,-0.959127064041
0.2,12,1095.75,3,13750000000,13.75,3325.14773498,0.88653933389,3750.70525116,3751.76576842,-1.06051726152
0.2,13,1187.0625,3.25,14895833333.3,14.8958333333,3273.95128736,0.884490250691,3701.51201192,3702.64317475,-1.13116282572
0.2,14,1278.375,3.5,16041666666.7,16.0416666667,3223.39715246,0.882555001323,3652.34704651,3653.52058108,-1.17353457193
0.2,15,1369.6875,3.75,17187500000,17.1875,3173.46012414,0.88073188535,3603.20794208,3604.39798741,-1.19004532934
0.2,16,1461,4,18333333333.3,18.3333333333,3124.11573303,0.879019291872,3554.09234122,3555.27539374,-1.18305251417
0.2,17,1552.3125,4.25,19479166666.7,19.4791666667,3075.34020459,0.877415695442,3504.99793948,3506.15280007,-1.15486058328
0.2,18,1643.625,4.5,20625000000,20.625,3027.11041922,0.875919652165,3455.922483,3457.0302064,-1.10772339816
0.2,19,1734.9375,4.75,21770833333.3,21.7708333333,2979.4038744,0.87452979597,3406.86376626,3407.90761273,-1.0438464686
0.2,20,1826.25,5,22916666666.7,22.9166666667,2932.19864883,0.873244835037,3357.81962994,3358.78501906,-0.965389119604
0.2,21,1917.5625,5.25,24062500000,24.0625,2885.47336822,0.872063548384,3308.78795882,3309.66242538,-0.874466565519
0.2,22,2008.875,5.5,25208333333.3,25.2083333333,2839.20717295,0.870984782603,3259.76667981,3260.53983171,-0.773151901135
0.2,23,2100.1875,5.75,26354166666.7,26.3541666667,2793.37968729,0.870007448742,3210.75376002,3211.41723804,-0.66347802377
0.2,24,2191.5,6,27500000000,27.5,2747.97099016,0.869130519322,3161.7472049,3162.29464437,-0.547439471471
0.2,25,2282.8125,6.25,28645833333.3,28.6458333333,2702.96158741,0.868353025497,3112.74505649,3113.1720507,-0.426994209987
0.2,26,2374.125,6.5,29791666666.7,29.7916666667,2658.33238546,0.867674054335,3063.74539169,3064.04945703,-0.304065344183
0.2,27,2465.4375,6.75,30937500000,30.9375,2614.0646663,0.86709274623,3014.74632058,3014.92686336,-0.180542782403
0.2,28,2556.75,7,32083333333.3,32.0833333333,2570.14006375,0.866608292439,2965.74598486,2965.80426969,-0.0582848308877
0.2,29,2648.0625,7.25,33229166666.7,33.2291666667,2526.54054089,0.866219932733,2916.74255626,2916.68167602,0.0608802423326
0.2,30,2739.375,7.5,34375000000,34.375,2483.24836866,0.86592695317,2867.73423506,2867.55908235,0.175152703363
0.2,31,2830.6875,7.75,35520833333.3,35.5208333333,2440.24610555,0.865728683971,2818.71924857,2818.43648868,0.282759892998
0.2,32,2922,8,36666666666.7,36.6666666667,2397.51657827,0.865624497517,2769.69584981,2769.31389501,0.381954801376
0.2,33,3013.3125,8.25,37812500000,37.8125,2355.04286342,0.865613806441,2720.66231602,2720.19130134,0.471014684066
0.2,34,3104.625,8.5,38958333333.3,38.9583333333,2312.80827009,0.86569606184,2671.61694738,2671.06870767,0.548239712496
0.2,35,3195.9375,8.75,40104166666.7,40.1041666667,2270.79632334,0.865870751568,2622.55806566,2621.946114,0.611951656926
0.2,36,3287.25,9,41250000000,41.25,2228.99074842,0.866137398649,2573.48401293,2572.82352033,0.660492598968
0.2,37,3378.5625,9.25,42395833333.3,42.3958333333,2187.37545587,0.866495559767,2524.39315033,2523.70092666,0.692223671582
0.2,38,3469.875,9.5,43541666666.7,43.5416666667,2145.93452727,0.86694482387,2475.28385681,2474.57833299,0.705523824231
0.2,39,3561.1875,9.75,44687500000,44.6875,2104.65220175,0.867484810847,2426.15452793,2425.45573932,0.698788611146
0.2,40,3652.5,10,45833333333.3,45.8333333333,2063.51286303,0.86811517031,2377.00357465,2376.33314565,0.670429000559
0.2,41,3743.8125,10.25,46979166666.7,46.9791666667,2022.50102721,0.868835580453,2327.82942218,2327.21055198,0.618870203067
0.2,42,3835.125,10.5,48125000000,48.125,1981.60133099,0.869645747001,2278.63050882,2278.08795831,0.542550517197
0.2,43,3926.4375,10.75,49270833333.3,49.2708333333,1940.79852044,0.870545402244,2229.40528483,2228.96536464,0.439920190628
0.2,44,4017.75,11,50416666666.7,50.4166666667,1900.07744037,0.871534304142,2180.15221126,2179.84277097,0.30944029489
0.2,45,4109.0625,11.25,51562500000,51.5625,1859.42302393,0.872612235522,2130.86975891,2130.7201773,0.149581613575
0.2,46,4200.375,11.5,52708333333.3,52.7083333333,1818.82028284,0.873779003338,2081.55640716,2081.59758363,-0.041176463827
0.2,47,4291.6875,11.75,53854166666.7,53.8541666667,1778.25429786,0.875034438014,2032.21064293,2032.47498996,-0.264347026891
0.2,48,4383,12,55000000000,55,1737.71020963,0.876378392852,1982.83095955,1983.35239629,-0.521436737117
