time_hours,dimensionless_time,drawdown_psi,fitted_line_psi,residual_psi
1,33219.9546485,337.662006184,337.661958527,0.0000476570136243
1.04716417664,34786.7464576,338.516083625,338.516040914,0.0000427112553893
1.09655281284,36427.4347123,339.37016135,339.370123301,0.0000380484193556
1.1482708234,38145.5046776,340.224239344,340.224205688,0.0000336557625928
1.20242807135,39944.6059983,341.078317597,341.078288075,0.0000295211165167
1.2591396013,41828.5604514,341.932396096,341.932370463,0.0000256328603427
1.31852588387,43801.3700652,342.78647483,342.78645285,0.0000219798966441
1.38071307157,45867.2256201,343.640553789,343.640535237,0.0000185516280453
1.44583326676,48030.5155512,344.494632962,344.494617624,0.0000153379344852
1.51402480235,50295.8352708,345.348712341,345.348700011,0.0000123291512182
1.58543253557,52667.9969299,346.202791915,346.202782399,0.00000951604960164
1.66020815573,55152.0396404,347.056871676,347.056864786,0.00000688981583608
1.73851050644,57753.2401801,347.910951615,347.910947173,0.00000444203357119
1.82050592306,60477.1242015,348.765031725,348.76502956,0.00000216466543179
1.90636858599,63329.4779701,349.619111997,349.619111947,5.00359078615e-8
1.99628089073,66316.3606556,350.473192425,350.473194334,-0.00000190918456155
2.09043383528,69444.1172038,351.327273002,351.327276722,-0.00000371999561821
2.18902742594,72719.3918143,352.18135372,352.181359109,-0.00000538908159342
2.29227110213,76149.142055,353.035434573,353.035441496,-0.0000069228257189
2.4003841813,79740.6536419,353.889515556,353.889523883,-0.0000083273238829
2.51359632484,83501.5559158,354.743596662,354.74360627,-0.00000960839713571
2.6321480259,87439.8380488,355.597677886,355.597688658,-0.0000107716045363
2.75629112034,91563.866016,356.451759222,356.451771045,-0.0000118222548053
2.88628932162,95882.4003667,357.305840666,357.305853432,-0.0000127654172957
3.02241878102,100404.614834,358.159922213,358.159935819,-0.0000136059335887
3.16496867429,105140.115824,359.014003858,359.014018206,-0.0000143484267028
3.31424181591,110098.962819,359.868085596,359.868100593,-0.0000149973114389
3.47055530234,115291.689749,360.722167424,360.722182981,-0.0000155568039304
3.63424118566,120729.32737,361.576249337,361.576265368,-0.0000160309303965
3.8056471789,126423.426691,362.430331331,362.430347755,-0.0000164235358966
3.98513739468,132386.083519,363.284413404,363.284430142,-0.0000167382919471
4.1730931187,138629.964147,364.138495551,364.138512529,-0.0000169787048776
4.36991361969,145168.332264,364.992577768,364.992594917,-0.0000171481231632
4.57601699755,152015.07713,365.846660054,365.846677304,-0.00001724974436
4.79184107154,159184.743079,366.700742404,366.700759691,-0.0000172866220964
5.01784431027,166692.560421,367.554824816,367.554842078,-0.000017261672042
5.25450680568,174554.477785,368.408907288,368.408924465,-0.0000171776795241
5.50233129282,182787.196009,369.262989815,369.263006852,-0.000017037303337
5.76184421785,191408.203609,370.117072397,370.11708924,-0.0000168430831877
6.03359685632,200435.813934,370.971155029,370.971171627,-0.0000165974440733
6.31816648423,209889.204068,371.825237711,371.825254014,-0.000016302702079
6.61615760434,219788.455564,372.67932044,372.679336401,-0.000015961068641
6.92820323028,230154.597106,373.533403214,373.533418788,-0.0000155746557766
7.25496623123,241009.649178,374.38748603,374.387501176,-0.000015145480404
7.59714074009,252376.670844,375.241568887,375.241583563,-0.0000146754684351
7.95545362792,264279.808728,376.095651783,376.09566595,-0.0000141664592093
8.33066604808,276744.348309,376.949734717,376.949748337,-0.000013620209188
8.72357505311,289796.767637,377.803817686,377.803830724,-0.0000130383956503
9.13501528786,303464.793576,378.657900689,378.657913111,-0.0000124226203866
9.56586076251,317777.460705,379.511983724,379.511995499,-0.0000117744129966
10.0170267092,332765.172994,380.366066791,380.366077886,-0.000011095234413
10.4894715264,348459.768393,381.220149887,381.220160273,-0.0000103864792322
10.9841988143,364894.586462,382.074233011,382.07424266,-0.00000964947963666
11.5022595074,382104.539193,382.928316162,382.928325047,-0.00000888550812306
12.0447541066,400126.185175,383.782399339,383.782407435,-0.00000809577915106
12.6128350169,418997.807251,384.63648254,384.636489822,-0.00000728145283801
13.2077089956,438759.493844,385.490565765,385.490572209,-0.00000644363723268
13.8306397157,459453.224115,386.344649013,386.344654596,-0.00000558339024792
14.4829504503,481122.957135,387.198732282,387.198736983,-0.00000470172210498
15.1660268836,503814.725271,388.052815571,388.05281937,-0.00000379959755037
15.8813200545,527576.731968,388.90689888,388.906901758,-0.00000287793807274
16.6303494388,552459.454146,389.760982207,389.760984145,-0.00000193762349454
17.4147061773,578515.749429,390.615065552,390.615066532,-9.79494132025e-7
18.2360564556,605800.968424,391.469148915,391.469148919,-4.35210267824e-9
19.0961450435,634373.072308,392.323232293,392.323231306,9.8703611684e-7
19.9967990015,664292.755947,393.177315687,393.177313694,0.00000199393883804
20.9399315619,695623.57683,394.031399096,394.031396081,0.00000301565739846
21.9275461929,728432.090083,394.885482519,394.885478468,0.00000405152451322
22.9617408549,762787.98985,395.739565956,395.739560855,0.00000510090256967
24.0447124565,798764.257343,396.593649405,396.593643242,0.00000616318362745
25.1787615221,836437.315871,397.447732867,397.447725629,0.00000723778606471
26.3662970781,875887.193186,398.301816341,398.301808017,0.00000832415503282
27.6098417709,917197.691483,399.155899826,399.155890404,0.00000942176069429
28.9120372252,960456.565418,400.009983321,400.009972791,0.0000105300968585
