productivity_index_bbl_per_day_psi,observation_index,times_days,times_years,cumulative_gas_scf,cumulative_gas_bscf,pressure_psia,z_factor,p_over_z_psia,fitted_p_over_z_psia,residual_p_over_z_psia
0.6,0,0,0,0,0,4000,0.920768835948,4344.19568065,4335.63724383,8.55843681678
0.6,1,91.3125,0.25,1145833333.33,1.14583333333,3938.8723255,0.91718664282,4294.51557797,4287.77300881,6.74256915746
0.6,2,182.625,0.5,2291666666.67,2.29166666667,3878.91281183,0.913755536265,4245.02250098,4239.90877379,5.11372718088
0.6,3,273.9375,0.75,3437500000,3.4375,3820.06786681,0.910470867262,4195.7057652,4192.04453878,3.66122642132
0.6,4,365.25,1,4583333333.33,4.58333333333,3762.28669411,0.90732827832,4146.55509368,4144.18030376,2.37478992566
0.6,5,456.5625,1.25,5729166666.67,5.72916666667,3705.52109217,0.904323684474,4097.56059229,4096.31606874,1.24452355185
0.6,6,547.875,1.5,6875000000,6.875,3649.72526922,0.901453255782,4048.71272671,4048.45183372,0.260892993478
0.6,7,639.1875,1.75,8020833333.33,8.02083333333,3594.85567283,0.898713401202,4000.0023011,4000.5875987,-0.585297603267
0.6,8,730.5,2,9166666666.67,9.16666666667,3540.87083278,0.896100753702,3951.42043811,3952.72336368,-1.30292557047
0.6,9,821.8125,2.25,10312500000,10.3125,3487.7312159,0.893612156515,3902.95856035,3904.85912866,-1.90056831503
0.6,10,913.125,2.5,11458333333.3,11.4583333333,3435.39909185,0.891244650418,3854.60837295,3856.99489364,-2.38652069594
0.6,11,1004.4375,2.75,12604166666.7,12.6041666667,3383.83840885,0.888995461956,3806.36184735,3809.13065862,-2.76881127962
0.6,12,1095.75,3,13750000000,13.75,3333.01467855,0.886861992533,3758.21120605,3761.26642361,-3.05521755881
0.6,13,1187.0625,3.25,14895833333.3,14.8958333333,3282.89486907,0.884841808284,3710.14890835,3713.40218859,-3.25328023464
0.6,14,1278.375,3.5,16041666666.7,16.0416666667,3233.44730569,0.882932630679,3662.16763696,3665.53795357,-3.37031660783
0.6,15,1369.6875,3.75,17187500000,17.1875,3184.64157846,0.881132327786,3614.26028536,3617.67371855,-3.41343319421
0.6,16,1461,4,18333333333.3,18.3333333333,3136.44845613,0.879438906145,3566.41994596,3569.80948353,-3.38953757167
0.6,17,1552.3125,4.25,19479166666.7,19.4791666667,3088.83980591,0.877850503208,3518.63989896,3521.94524851,-3.305349556
0.6,18,1643.625,4.5,20625000000,20.625,3041.78851856,0.876365380295,3470.91360174,3474.08101349,-3.1674117532
0.6,19,1734.9375,4.75,21770833333.3,21.7708333333,2995.2684384,0.874981916026,3423.23467895,3426.21677847,-2.98209952301
0.6,20,1826.25,5,22916666666.7,22.9166666667,2949.25429777,0.873698600201,3375.59691305,3378.35254346,-2.75563040765
0.6,21,1917.5625,5.25,24062500000,24.0625,2903.72165575,0.872514028088,3327.99423537,3330.48830844,-2.49407307038
0.6,22,2008.875,5.5,25208333333.3,25.2083333333,2858.64684057,0.871426895089,3280.42071765,3282.62407342,-2.2033557641
0.6,23,2100.1875,5.75,26354166666.7,26.3541666667,2814.00689561,0.870435991761,3232.87056399,3234.7598384,-1.88927440425
0.6,24,2191.5,6,27500000000,27.5,2769.77952864,0.869540199169,3185.33810316,3186.89560338,-1.55750022302
