productivity_index_bbl_per_day_psi,observation_index,times_days,times_years,cumulative_gas_scf,cumulative_gas_bscf,pressure_psia,z_factor,p_over_z_psia,fitted_p_over_z_psia,residual_p_over_z_psia
2,0,0,0,0,0,4000,0.920768835948,4344.19568065,4319.56139808,24.6342825651
2,1,91.3125,0.25,1145833333.33,1.14583333333,3939.14682633,0.917202541388,4294.74041837,4275.56686277,19.1735555974
2,2,182.625,0.5,2291666666.67,2.29166666667,3879.96649076,0.913815107141,4245.89882619,4231.57232746,14.3264987257
2,3,273.9375,0.75,3437500000,3.4375,3822.34388064,0.910596352085,4197.62705164,4187.57779215,10.0492594895
2,4,365.25,1,4583333333.33,4.58333333333,3766.1735214,0.907537041859,4149.88407931,4143.58325684,6.30082246763
2,5,456.5625,1.25,5729166666.67,5.72916666667,3711.35853431,0.904628788615,4102.6314672,4099.58872153,3.04274566866
2,6,547.875,1.5,6875000000,6.875,3657.80972621,0.901863963583,4055.83311222,4055.59418622,0.238925993166
2,7,639.1875,1.75,8020833333.33,8.02083333333,3605.44479195,0.8992356206,4009.45504088,4011.59965091,-2.14461003733
2,8,730.5,2,9166666666.67,9.16666666667,3554.18761325,0.89673742902,3963.46522208,3967.6051156,-4.13989352873
2,9,821.8125,2.25,10312500000,10.3125,3503.96764058,0.894363614695,3917.83339909,3923.61058029,-5.77718120693
2,10,913.125,2.5,11458333333.3,11.4583333333,3454.71934648,0.892108907944,3872.53093845,3879.61604498,-7.08510653136
2,11,1004.4375,2.75,12604166666.7,12.6041666667,3406.38174077,0.889968497541,3827.53069371,3835.62150967,-8.09081596659
2,12,1095.75,3,13750000000,13.75,3358.89793939,0.887937989962,3782.80688219,3791.62697436,-8.82009217734
2,13,1187.0625,3.25,14895833333.3,14.8958333333,3312.21477991,0.886013373195,3738.33497339,3747.63243905,-9.29746566457
2,14,1278.375,3.5,16041666666.7,16.0416666667,3266.28247781,0.884190984543,3694.09158757,3703.63790374,-9.54631617415
2,15,1369.6875,3.75,17187500000,17.1875,3221.05431828,0.882467481928,3650.05440341,3659.64336843,-9.58896502365
2,16,1461,4,18333333333.3,18.3333333333,3176.48637929,0.880839818268,3606.20207376,3615.64883312,-9.44675936441
2,17,1552.3125,4.25,19479166666.7,19.4791666667,3132.53728205,0.879305218563,3562.51414858,3571.65429781,-9.14014923761
2,18,1643.625,4.5,20625000000,20.625,3089.16796561,0.877861159375,3518.97100427,3527.6597625,-8.68875823695
2,19,1734.9375,4.75,21770833333.3,21.7708333333,3046.34148278,0.876505350425,3475.55377877,3483.66522719,-8.11144842198
2,20,1826.25,5,22916666666.7,22.9166666667,3004.02281482,0.875235718073,3432.24431177,3439.67069188,-7.42638011327
2,21,1917.5625,5.25,24062500000,24.0625,2962.17870281,0.874050390475,3389.0250895,3395.67615657,-6.6510670705
