time_hours,derivative_psi,generator_derivative_psi,storage_ratio
0.0011220184543,1.37489942704,1.37192338121,0.998822160324
0.00125892541179,1.54145559686,1.53812609497,0.998445508794
0.00141253754462,1.72803769043,1.72431397933,0.998026903856
0.00158489319246,1.93701623486,1.93285316943,0.997561657142
0.00177827941004,2.17103310221,2.1663807504,0.997044556911
0.00199526231497,2.43303024836,2.42783348184,0.99646981033
0.00223872113857,2.72628090063,2.72047897721,0.995830979593
0.00251188643151,3.0544232406,3.04794938705,0.995120911292
0.00281838293126,3.42149657552,3.41427758282,0.994331658395
0.00316227766017,3.83197991921,3.82393576611,0.993454394137
0.00354813389234,4.29083280615,4.28187633219,0.992479317101
0.00398107170553,4.80353803495,4.79357469015,0.991395546739
0.00446683592151,5.37614587156,5.36507357788,0.990191008513
0.00501187233627,6.01531903029,6.00302819933,0.988852307883
0.0056234132519,6.72837748204,6.71475124467,0.9873645923
0.0063095734448,7.52334180098,7.50825651853,0.985711400423
0.00707945784384,8.4089733421,8.39229948437,0.983874497814
0.00794328234724,9.39480902489,9.37641251963,0.981833698433
0.00891250938134,10.4911878696,10.4709320492,0.979566671416
0.01,11.7092656728,11.6870139686,0.977048732781
0.011220184543,13.0610133023,13.0366328647,0.97425262201
0.0125892541179,14.5591930274,14.5325594769,0.971148263826
0.0141253754462,16.2173060585,16.1883096034,0.967702515989
0.0158489319246,18.0495030625,18.0180562478,0.963878904625
0.0177827941004,20.0704478445,20.0364952164,0.959637349479
0.0199526231497,22.2951226808,22.2586526678,0.954933882628
0.0223872113857,24.7385620084,24.6996213155,0.949720365643
0.0251188643151,27.4154994249,27.3742102106,0.943944212057
0.0281838293126,30.3399113832,30.2964914218,0.937548124295
0.0316227766017,33.5244398093,33.4792257232,0.930469857146
0.0354813389234,36.9796754513,36.9331489068,0.922642023427
0.0398107170553,40.7132845299,40.6661009994,0.913991961896
0.0446683592151,44.7289637767,44.6819830626,0.904441692807
0.0501187233627,49.0252139642,48.9795311192,0.893907992939
0.056234132519,53.5939304366,53.5509049774,0.882302629554
0.063095734448,58.4188219787,58.3801023717,0.869532801657
0.0707945784384,63.4736877268,63.4412270125,0.855501847185
0.0794328234724,68.7206068064,68.69666397,0.840110286194
0.0891250938134,74.1081277886,74.0952481734,0.823257282436
0.1,79.5695851764,79.5705520211,0.804842618339
0.11220184543,85.0217171841,85.0394655312,0.784769290118
0.125892541179,90.3638106832,90.4012948289,0.762946838751
0.141253754462,95.4776506201,95.5376574906,0.739295535962
0.158489319246,100.228594599,100.313498573,0.713751537906
0.177827941004,104.468117034,104.579577502,0.686273096908
0.199526231497,108.038155735,108.176767637,0.656847875031
0.223872113857,110.777528015,110.942448093,0.625501322012
0.251188643151,112.530543434,112.71913044,0.592305951208
0.281838293126,113.157708924,113.365233084,0.557391157533
0.316227766017,112.548092066,112.767584597,0.520952959444
0.354813389234,110.632491214,110.854813744,0.483262710138
0.398107170553,107.396097591,107.610307459,0.444673425919
0.446683592151,102.888902405,103.082966118,0.405621968579
0.501187233627,97.2318186159,97.393676923,0.366624987523
0.56234132519,90.6164967086,90.7354106566,0.328266430312
0.63095734448,83.2972578286,83.3652744016,0.291174778592
0.707945784384,75.5745319391,75.5878207139,0.255989190583
0.794328234724,67.7706387559,67.7303983159,0.22331558982
0.891250938134,60.2004735738,60.1131229258,0.193676368666
1,53.1412557652,53.01773615,0.167460320417
1.1220184543,46.8064365454,46.6606492647,0.144881751471
1.25892541179,41.3286539072,41.1753052133,0.125958221779
1.41253754462,36.755041804,36.6073732479,0.110513975953
1.58489319246,33.0554894528,32.9234473143,0.0982107370511
1.77827941004,30.1413540964,30.0306369632,0.0886004725772
1.99526231497,27.889698505,27.801840251,0.0811885936876
2.23872113857,26.1672506183,26.1005568433,0.0754935100153
2.51188643151,24.8492630317,24.8001719464,0.0710907836143
2.81838293126,23.8307849068,23.7951742197,0.0676362145434
3.16227766017,23.0304934349,23.0046005227,0.0648691619174
3.54813389234,22.3891190243,22.369978046,0.0626022826726
3.98107170553,21.8651267641,21.8506217443,0.0607052327127
4.46683592151,21.429863198,21.418575635,0.0590882980425
5.01187233627,21.0634329442,21.0544370856,0.0576891300895
5.6234132519,20.7517041067,20.7443930702,0.0564633374516
6.3095734448,20.4843302369,20.478295725,0.0553783404572
7.07945784384,20.2535040311,20.2484616288,0.0544095115475
7.94328234724,20.0531778084,20.0489225279,0.0535377567714
8.91250938134,19.8785655807,19.874945285,0.0527479641562
10,19.7258137743,19.7227127923,0.0520279724942
11.220184543,19.5917754179,19.5891040332,0.0513678609268
12.5892541179,19.4738502085,19.4715376655,0.050759443858
14.1253754462,19.3698681314,19.3678578291,0.0501959022729
15.8489319246,19.2780028414,19.2762489417,0.0496715086516
17.7827941004,19.1967059527,19.1951709343,0.0491814178741
19.9526231497,19.1246563663,19.1233092234,0.0487215057264
22.3872113857,19.0607206299,19.0595355264,0.048288242424
25.1188643151,19.0039215329,19.0028767796,0.0478785923352
28.1838293126,18.9534129444,18.9524902118,0.0474899336028
31.6227766017,18.9084594471,18.9076431521,0.0471199930807
35.4813389234,18.8684197018,18.8676965243,0.0467667932006
39.8107170553,18.8327327447,18.8320912463,0.0464286082324
44.6683592151,18.8009066164,18.80033693,0.0461039280148
