"# case B1, drawdown, constant rate 350.0 STB/D"
# initial pressure 4000.0 psia
"# h=40.0 ft, phi=0.18, ct=1.5e-05 1/psi, mu=1.2 cp, B=1.25 rb/STB, rw=0.35 ft"
# wellbore storage is zero by design; there is no storage period to fit
"# withheld answer: k=50.0 md, s=3.5"
# source run metrics_sha256 51c9cb9a68f3b20052ae00f7345d77dc59ba7cf52eff3b5cd2d526f36534fd08
elapsed_hours,pressure_psia,drawdown_psi
1.0,3662.3379938162407,337.6620061837594
1.0471641766408883,3661.4839163748175,338.5160836251824
1.0965528128399895,3660.6298386504723,339.37016134952756
1.1482708234008376,3659.775760655948,340.224239344052
1.202428071347293,3658.921682403413,341.0783175965871
1.2591396013022793,3658.067603904488,341.93239609551216
1.3185258838736376,3657.2135251702703,342.7864748297297
1.380713071566237,3656.359446211358,343.6405537886423
1.4458332667639706,3655.50536703787,344.49463296212997
1.514024802350899,3654.651287659472,345.3487123405279
1.5854325355676628,3653.7972080853924,346.2027919146075
1.6602081557273873,3652.943128324445,347.05687167555493
1.7385105064447572,3652.089048385046,347.9109516149539
1.8205059230627578,3651.234968275233,348.76503172476697
1.906368585993873,3650.3808880026813,349.61911199731867
1.9962808907263285,3649.526807574721,350.4731924252794
2.0904338352813747,3648.6727269983503,351.32727300164953
2.1890274259446754,3647.818646280255,352.1813537197448
2.292271102133679,3646.964565426818,353.0354345731819
2.4003841813035156,3646.110484444135,353.88951555586493
2.5135963248365085,3645.256403338027,354.7435966619729
2.6321480259049848,3644.4023221140533,355.5976778859467
2.756291120343733,3643.5482407775226,356.4517592224776
2.886289321617337,3642.6941593335036,357.30584066649635
3.022418781018806,3641.8400777868387,358.1599222131613
3.164968674289515,3640.9859961421507,359.0140038578494
3.314241815906584,3640.1319144038544,359.8680855961459
3.4705553023426203,3639.2778325761656,360.7221674238346
3.6342411856642785,3638.4237506631107,361.5762493368893
3.8056471789005406,3637.569668668535,362.430331331465
3.985137394679103,3636.71558659611,363.2844134038902
4.173093118699958,3635.8615044493417,364.1384955506585
4.369913619689198,3635.0074222315784,364.9925777684214
4.576016997553643,3634.1533399460186,365.84666005398145
4.79184107153797,3633.299257595715,366.70074240428494
5.01784431027105,3632.445175183584,367.55482481641616
5.254506805677151,3631.59109271241,368.4089072875899
5.502331292820857,3630.737010184853,369.2629898151473
5.761844217852148,3629.882927603451,370.1170723965487
6.033596856320207,3629.028844970631,370.971155029369
6.318166484231602,3628.174762288708,371.82523771129223
6.616157604340441,3627.320679559893,372.67932044010684
6.928203230275509,3626.4665967862993,373.5334032137009
7.2549662312321965,3625.6125139699425,374.3874860300575
7.5971407400857105,3624.7584311127493,375.2415688872507
7.955453627916803,3623.904348216559,376.09565178344116
8.330666048082266,3623.0502652831274,376.9497347168724
8.72357505311027,3622.196182314133,377.8038176858671
9.135015287855206,3621.3420993111763,378.6579006888236
9.565860762508823,3620.4880162757877,379.5119837242122
10.01702670923393,3619.633933209428,380.366066790572
10.489471526364737,3618.7798501134916,381.2201498865084
10.984198814303772,3617.925766989311,382.0742330106892
11.502259507440227,3617.071683838158,382.9283161618419
12.044754106618475,3616.217600661248,383.7823993387521
12.612835016899096,3615.3635174597403,384.63648254025964
13.207708995578502,3614.5094342347434,385.49056576525646
13.830639715667417,3613.655350987315,386.34464901268467
14.482950450273641,3612.801267718466,387.19873228153403
15.166026883591583,3611.94718442916,388.05281557083975
15.88132005446975,3611.0931011203197,388.90689887968045
16.630349438809247,3610.2390177928237,389.76098220717626
17.414706177340946,3609.384934447513,390.61506555248684
18.236056455638217,3608.53085108519,391.4691489148101
19.09614504354515,3607.6767677066205,392.32323229337953
19.99679900153894,3606.8226843125367,393.1773156874635
20.939931561899865,3605.968600903637,394.0313990963632
21.927546192933413,3605.1145174805883,394.88548251941154
22.961740854878165,3604.2604340440294,395.7395659559708
24.044712456539944,3603.406350594567,396.5936494054331
25.17876152211955,3602.552267132783,397.44773286721676
26.3662970781476,3601.698183659233,398.30181634076695
27.609841770907494,3600.8441001744463,399.15589982555383
28.912037225217556,3599.990016678929,400.00998332107116
30.275649655955643,3599.135933173164,400.86406682683577
31.703575744246788,3598.2818496576137,401.718150342386
33.198848790796234,3597.4277661327187,402.57223386728117
34.764645159439475,3596.5736825988997,403.42631740110045
36.40429102459708,3595.7195990565583,404.2804009434418
38.12126943696749,3594.8655155060787,405.1344844939214
39.919227722467525,3594.011431947827,405.98856805217275
41.80198523013781,3593.1573483821544,406.8426516178457
43.77354144547184,3592.303264809394,407.69673519060615
45.838084486403325,3591.449181229865,408.55081877013487
47.99999999999999,3590.595097643873,409.40490235612685
